,Circuit Breaker,API Gateway,Service Registry,Result Cache,Monitoring,Health Check,Service Discovery,Messaging,Service Discovery2,Page Cache,Scalable Store,Key Value Store,Load Balancer,Database is the Service,Container,Broker,Service Discovery3,Messaging2,Authenticator,Credential,Authorization
DynamoDB,0,0,0,0,0,0,0.3,0,0.3,0,0.6,0,0,1,0,0,0.3,0,0,0,0
Netflix Nebula,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guava,0,0,0,1,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0
Netflix Eureka,0,0,1,0,0,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Netflix Zuul,0,1,0,0,0.6,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.6,0,0.6
Netflix Hystrix,1,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zipkin,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RabbitMQ,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,1,0,0.6,0,0,0
Docker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Kubernetes,0,0,0.6,0,0,0,1,0,1,0,0,0,0,0,0.6,0,1,0,0,0,0
Netflix Ribbon,0,0,0,0.6,0,0,0,0.6,0,0,0,0,1,0,0,0,0,0.6,0,0,0
Netflix Turbine,0,0,0,0,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swagger,0,1,0,0,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Redis,0,0,0,0.6,0,0,0,0,0,0.6,0.3,0,0,0,0,0,0,0,0,0,0
Memcached,0,0,0,1,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0
Ehcached,0,0,0,0.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Apache Zookeeper,0,0,0.6,0,0.6,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Nginx,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Papertrail,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netflix Archaius,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apache Cassandra,0,0,0,0,0,0,0,0,0,0,0,0.6,0,1,0,0,0,0,0,0,0
MongoDB,0,0,0,0,0,0,0,0,0,0,0,0.6,0,1,0,0,0,0,0.6,0.6,0.6
OAuth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
ActiveMQ ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Mosquitto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
